Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
2019-03-07,532.4114738541667,,,,,,,,,,,,,,,,
2019-03-08,1634.5,,,,,,,,,,,,,,,,
2019-03-09,1691.2538110194118,358.85875177383423,45.5897387,5.2285241,45.5965861,5.2520445,1.0408203955117439,12.350000381469727,0.26694250106811523,1386,75.0,75.0,75.0,,27152308,941952,
2019-03-10,1762.871834835143,712.6637763977051,45.5963793,5.0758123,45.7212784,5.2339923,1.075931671258873,12.630000114440918,0.07806913554668427,857,,,,843922,82586201,1228407,
2019-03-11,1767.6007537549544,1416.1327131986618,45.5964704,2.2556275,48.8861431,5.2343437,0.914935386870404,8.350000381469727,0.3175318241119385,2435,,,,,74290645,2182889,
2019-03-12,1865.025733525628,2750.724403142929,48.8350567,2.2554743,48.8850962,2.3642516,1.2135310899056013,4.53616189956665,0.2107553482055664,4799,,,,,81197210,3826231,
2019-03-13,2021.4101710580694,4784.370592594147,48.8351687,2.2383147,48.8916861,2.3643963,1.2151519703913782,2.9800000190734863,0.30035170912742615,8039,,,,,72896650,6421868,
2019-03-14,1891.5716439910384,2581.4707050323486,-8.7440577,2.5746873,49.0062845,115.1665576,0.7593118124543808,1.6806424856185913,0.3270370662212372,5360,,,,,71312897,4266833,
2019-03-15,2131.7336945416973,8036.348560452461,-8.7440467,115.125165,-8.6325962,115.1811963,1.113722775151434,29.0,0.055407799780368805,9365,,,,1124615,70958874,7035170,
2019-03-16,1898.965213709626,6401.770608305931,-8.6540897,115.1176054,-8.6415507,115.1391309,1.8907691853524267,31.0,0.020419789478182793,4392,,,,1228123,78245499,3068573,
2019-03-17,2058.9896161678485,3378.0660350322723,-8.6550776,115.0859266,-8.6063379,115.151442,0.9160988491421638,18.0,0.08042973279953003,6704,,,,,77119048,7045607,
2019-03-18,2106.2134968450914,11420.499975919724,-8.6643538,115.1192384,-8.6269694,115.1551538,1.7520581004055293,41.0,0.03506658971309662,4951,,,,3149152,76413474,4462481,
2019-03-19,1918.7138334380902,10496.866749048233,-8.6537563,115.1264076,-8.6326127,115.1357036,1.1138199697168132,12.300000190734863,0.32554489374160767,1942,,,,3088821,81138185,1414898,
2019-03-20,2333.4162369635,8087.792206287384,-8.6424126,115.1298236,-8.5139669,115.2641401,1.1673359825229352,25.0,0.10191787034273148,12594,,,,,69644717,11600492,
2019-03-21,2097.326341774326,5921.638335347176,-8.518278,115.2539691,-8.4951472,115.2639474,0.9470623799523001,6.329999923706055,0.13567450642585754,9292,,,,,77584205,7681914,
2019-03-22,1841.4147660427604,2034.9040892720222,-8.6535987,115.13229,-8.5055573,115.265964,1.3338831576262478,12.729999542236328,0.19126571714878082,3816,,,,,78367539,3434337,
2019-03-23,1994.0277817532744,4457.854902148247,-8.6593527,115.1254957,-8.6515697,115.1337745,0.5840978331757823,8.470000267028809,0.08488326519727707,2918,,,,2272534,80892948,2997561,236957
2019-03-24,1817.454033087091,1639.1229320764542,-8.6536123,115.1266371,-8.6516702,115.1340479,0.6742986533079939,3.9218146800994873,0.045038722455501556,2877,,,,,82764092,3036641,
2019-03-25,1965.870468556753,5928.443986773491,-8.6598835,115.1265175,-8.6448875,115.1414832,0.8754816711654227,12.100000381469727,0.05760490149259567,4698,,,,1839260,77933487,3533573,
2019-03-26,1730.260997002276,912.4283113479614,-8.65537,115.1309536,-8.6431074,115.1422505,0.6735714143292983,1.0073368549346924,0.14029113948345184,1657,,,,,83044257,1589426,
2019-03-27,1837.164898232341,2524.5359234809875,-8.6555865,115.1266363,-8.6518268,115.133286,0.5266272806721417,4.378407955169678,0.2055438607931137,3289,,,,779726,82400077,2530149,
2019-03-28,1867.1020687410003,4084.5653241872787,-8.6595275,115.1265533,-8.6515857,115.1334611,1.0707317924285216,11.010000228881836,0.01873525232076645,4048,,,,544810,81530681,3278204,
2019-03-29,1765.886048426573,1013.2361872196198,-8.6555419,115.1258758,-8.6527454,115.1333681,1.165140763251864,5.179999828338623,0.12005091458559036,2518,,,,,83784584,2134136,
2019-03-30,2190.8114984645736,4897.023953437805,-8.6635736,115.1266366,-8.6431074,115.1422901,0.7777044032119623,8.739999771118164,0.011736256070435047,5812,,,,2652505,74694012,6397619,
2019-03-31,1820.7377969962815,1657.4824010133743,-8.6563252,115.1266268,-8.6366552,115.1584494,0.6586875010624239,6.0,0.25480207800865173,3438,,,,,79557184,3045211,
2019-04-01,2035.9626201189776,5206.995069980621,-8.6643729,115.1266286,-8.6524618,115.1466083,0.7537267543691899,9.460000038146973,0.11099700629711151,3995,,,,2095406,79347271,4423090,
2019-04-02,1908.6854884387865,4686.95638692379,-8.659621,115.1268203,-8.6514116,115.1347261,1.1530573983066223,3.8735499382019043,0.08251726627349854,1924,,,,2390746,81243682,1924163,
2019-04-03,1898.3415966208925,2779.9950264692307,-8.6615583,115.1266389,-8.6524744,115.1337225,0.5493987257145323,7.840000152587891,0.27380311489105225,3992,,,,404265,81254828,3946975,
2019-04-04,1841.8014976303639,2041.8479756116867,-8.6595456,115.1266363,-8.6430945,115.1423506,0.5893614714258262,7.679999828338623,0.0650210976600647,4149,,,,,79846138,3440755,
2019-04-05,1693.1236337231574,228.4904546737671,-8.6593406,115.1255665,-8.6527568,115.1320087,1.0384008447186988,4.900000095367432,0.2558199167251587,762,,,,,84442399,973026,
2019-04-06,2481.1472702662786,11958.916425585747,-8.6597989,115.1222354,-8.26026,115.2004112,1.1829023599338258,12.119999885559082,0.024219201877713203,7961,,,,6167915,56960079,7458035,
2019-04-07,1789.8141464027597,3831.0258328318596,-8.6551579,115.126636,-8.6453613,115.1411696,0.6122646387627427,1.5099999904632568,0.28645190596580505,1121,,,,484127,56024361,1957332,
2019-04-08,1911.4650011295998,5335.844934225082,-8.6598054,115.1266445,-8.645326,115.1411906,0.706400151878969,6.852054119110107,0.12924350798130035,2929,,,,1481861,81269928,3012676,
2019-04-09,1739.2003837095938,1013.6354713439941,-8.655047,115.1266382,-8.6515366,115.13096,0.6414928196418598,10.140000343322754,0.29458045959472656,1466,,,,,83918170,1515850,97371
2019-04-10,1996.1628135060853,3289.332841783762,-12.4596238,115.1306361,-8.6512432,130.8808902,33.97797225233808,218.4499969482422,0.26687535643577576,5606,,,,,66611380,5820542,
2019-04-11,1945.058583905311,3126.1516548991203,-13.1263744,130.7823498,-12.4250457,131.1426928,5.207839637052449,37.279998779296875,0.2726103663444519,7664,,,,,72038253,5151289,
2019-04-12,2453.485181792492,8394.525087699294,-13.2113109,130.6752458,-13.0961286,130.8047765,5.914499064224841,102.0,0.2674334645271301,15344,,,,,66188391,13593375,
2019-04-13,2226.750269626589,6117.211788833141,-13.163918,130.6692985,-12.4252266,131.0143812,6.109323026747908,93.0,0.06901291757822037,9112,,,,764092,63917426,9013137,
2019-04-14,2154.5244175389626,5410.778195091578,-12.4673644,115.1668683,-8.7428084,130.9131165,1.4553008561303682,23.299999237060547,0.2558199167251587,10261,,,,,69138353,8622479,
2019-04-15,2147.942970879264,11836.439898735789,-8.7398128,115.1272668,-8.6396085,115.1845813,1.0180600228183383,14.1899995803833,0.017362339422106743,3285,,,,4548597,74513867,3657000,
2019-04-16,1736.9952010645168,2138.4677562713623,-8.655007,115.1266334,-8.6431265,115.1422966,2.5050582632901555,5.789604663848877,0.3248315751552582,1405,,,,279544,84302472,1342461,
2019-04-17,1762.8893398322414,1641.070421218872,-8.658088,115.1238826,-8.6537135,115.1307885,0.48961910025799105,4.400000095367432,0.2456119954586029,3390,,,,,83849352,2130985,
2019-04-18,1815.318096733739,2312.321571826935,-8.6579697,115.1234861,-8.6516958,115.130981,1.6074216512783919,6.019999980926514,0.033046141266822815,3540,,,,,72954621,2887293,
2019-04-19,1871.229569987548,1705.001352906227,-8.6594134,115.125845,-8.6514702,115.1310962,0.7327723133614501,2.454042911529541,0.08148718625307083,1413,,,,2116659,59154631,1666156,
2019-04-20,1878.278192280619,7003.374131679535,-8.6595094,115.1291106,-8.643107,115.1466169,1.5344646608012185,12.25,0.03756474703550339,1257,,,,2655254,80554459,1085695,
2019-04-21,2005.2967381138017,11933.189125478268,-8.6747292,115.1289855,-8.6513719,115.1477331,1.8471827210658447,12.59000015258789,0.019242363050580025,4976,,,,2324091,79916008,3669602,
2019-04-22,1831.80150011691,2329.7901287078857,-8.6626427,115.1265985,-8.6533765,115.1339115,1.0521519264441348,5.21999979019165,0.09276274591684341,4531,,,,,82158880,3274774,
2019-04-23,1907.5596487836751,2989.3805594444275,-8.6622193,115.1251253,-8.6515073,115.1334551,1.8898658869599314,6.090000152587891,0.12166845798492432,5584,,,,1108251,79905136,3347305,
2019-04-24,2099.111039751753,2709.419249534607,-8.6598789,115.1266378,-8.643117,115.1422722,0.6381223475153497,2.990617513656616,0.01020380761474371,2100,,,,5641622,75303095,1679753,
2019-04-25,1765.7577989877075,1342.1473927497864,-8.6598961,115.12673,-8.6425512,115.1365121,0.5704168558713092,1.1249479055404663,0.24253761768341064,2247,,,,,84065793,2178595,
2019-04-26,1808.7952616122739,2820.171838402748,-8.6556648,115.1258956,-8.6513667,115.1347438,0.9675075533010729,7.420000076293945,0.2152942568063736,1681,,,,1287448,83186624,1516441,
2019-04-27,1912.0152943800376,3156.2980008125305,-8.6550634,115.1253455,-8.6515167,115.1309587,0.7857593507168907,3.304978847503662,0.09967249631881714,3128,,,,1362361,80654448,3149573,
2019-04-28,1845.606390207655,1427.5919744968414,-8.6550668,114.4344552,-8.1650422,115.1567321,4.171242990752256,36.0,0.049680326133966446,3415,,,,,63709859,3503908,
2019-04-29,2212.060568936775,6103.99098443985,-8.1872329,114.4335168,-8.0911632,114.5542255,2.7389484764583365,20.399999618530273,0.06347458809614182,11014,,,,,58901730,9586253,
2019-04-30,2034.2800252213308,4052.7848720550537,-8.6549849,114.4370414,-8.1412145,115.1470405,5.618581635980272,50.0,0.11788049340248108,6929,,,,,60191542,6230542,172749
2019-05-01,2095.499250103374,9569.903805911541,-8.660264,115.1267415,-8.6369175,115.1557073,1.1751993002932233,12.4399995803833,0.0500679537653923,2949,,,,3955660,78174880,3384627,
2019-05-02,1747.6277873953966,705.5579817295074,-8.6580332,115.1270359,-8.6515576,115.1308437,0.843022930386496,9.84000015258789,0.2749665081501007,1453,,,,621773,83799511,1212904,
2019-05-03,1839.639711316858,1009.0566490888596,-8.7849738,115.1260238,-8.6373625,115.1975576,1.9664025042154165,22.760000228881836,0.2517201006412506,1659,,,,1547553,74267231,1632218,
2019-05-04,1853.6487251741346,2463.764483690262,-8.6619594,115.1278755,-8.6527451,115.1331307,1.487530970162381,8.0,0.26694250106811523,4616,,,,,79752637,3637395,
2019-05-05,2113.2733573959968,12897.306900978088,-8.6744645,115.1267103,-8.6514564,115.1478246,0.8622479043558209,14.039999961853027,0.07474904507398605,6525,,,,2563322,67791494,5206005,
2019-05-06,1951.8658949555836,2834.123064994812,-8.6614962,115.1267293,-8.65152,115.1331443,0.6363878286523089,3.430000066757202,0.2564597725868225,4533,,,,932241,55862566,4209566,
2019-05-07,2039.1954809328759,2894.1640479564667,-8.6624152,115.1266371,-8.6515601,115.1336111,1.2656431620001243,10.40999984741211,0.2996425926685333,3602,,,,3300363,78853048,3188460,
2019-05-08,1941.8014623039414,2159.521434187889,-8.6595321,115.1282287,-8.6515647,115.1318622,1.043394248234303,8.180000305175781,0.2660291790962219,3045,,,,1853373,80652118,3102770,
2019-05-09,1703.594325793365,1254.0161554813385,-8.6617612,115.1265211,-8.6532247,115.1330334,1.015116630004707,3.483903169631958,0.3650287687778473,2380,,,,,81182717,860550,
2019-05-10,1735.9825969455171,1959.4843344688416,-8.6551115,115.125603,-8.6527793,115.1309556,0.6819240726158315,2.50036358833313,0.2660711705684662,1046,,,,993533,81370469,622148,
2019-05-11,2126.9978651980578,7402.330563187599,-8.6991153,115.1304596,-8.6529224,115.4675799,1.7120581709087586,35.0,0.04603198170661926,5132,,,,3854949,56600206,3911844,
2019-05-12,2204.061421543024,12376.471981048584,-8.7523968,115.1305547,-8.6368899,115.5078474,2.0625138348887417,39.0,0.04910024628043175,10600,,,,2624138,35839859,6624669,
2019-05-13,1815.8744804407172,2326.3164343833923,-8.6549964,115.1267307,-8.6524263,115.1317282,0.7210632103921487,5.78000020980835,0.24896767735481262,4656,,,,,74895686,2694910,132067
2019-05-14,1715.4179983606698,168.57668948173523,-8.6550742,115.1255891,-8.6515736,115.1307746,2.922594914829165,12.319999694824219,0.4229215383529663,749,,,,995311,78983133,278921,
2019-05-15,1668.9504212413299,253.25093734264374,-8.6550089,115.1306393,-8.6547912,115.132018,0.723822726463744,1.2799999713897705,0.33367815613746643,1402,,,,,77343823,571804,
2019-05-16,1649.1532980249797,221.0985336303711,-8.6593701,115.1299424,-8.6491927,115.1377525,0.9853811272162633,10.75,0.30793777108192444,546,,,,,77495038,209502,
2019-05-17,1648.2074689003878,131.07107639312744,-8.6555341,115.1255137,-8.651818,115.1318309,1.4628066739797807,6.690000057220459,0.3294380009174347,847,,,,,82076301,227518,
2019-05-18,1672.075157644798,311.2701784670353,-8.6550549,115.1302939,-8.6527567,115.1318681,0.8724132798817711,6.71999979019165,0.265473335981369,1348,,,,,71876068,623667,
2019-05-19,1797.5841612100712,2378.5098412036896,-8.6617225,115.1269857,-8.6514964,115.1339097,0.8684396112669328,8.210000038146973,0.33910071849823,4121,,,,,55125500,2656095,
2019-05-20,1717.785344322105,883.9337995648384,-8.6595451,115.1269675,-8.6515515,115.1357463,0.6433925121653702,4.0,0.31143295764923096,2124,,,,,80251644,1382357,
2019-05-21,1775.963233852119,1736.679144833237,-8.6612811,115.1266022,-8.6515749,115.1320355,0.794236091042003,12.25,0.305614173412323,4029,,,,,74265823,2347986,
2019-05-22,1815.9226945574146,592.039592385292,-8.6595911,115.1266367,-8.6515512,115.1339211,0.5411555900764772,8.8100004196167,0.04624849185347557,1866,,,,1741717,80878211,1149054,
2019-05-23,1788.543760956511,1959.144066810608,-8.660181,115.1267131,-8.651241,115.134383,0.9823355464283908,2.258474111557007,0.26093190908432007,2093,,,,1019136,81672966,1467175,
2019-05-24,1679.810668466047,158.93702602386475,-8.6554578,115.1259775,-8.6547319,115.1308405,3.0020955086367263,9.0,0.3440411388874054,1677,,,,,80739146,752060,
2019-05-25,1967.6345961479394,3718.973421216011,-8.6551076,115.0688639,-8.083789,115.2007078,4.321756280164706,21.1299991607666,0.18304277956485748,8849,,,,,59764098,4931982,257659
2019-05-26,1883.5563026775453,2786.5122523605824,-8.2599853,115.0661702,-8.2571518,115.0710797,0.9731711197066117,5.96999979019165,0.0,5967,,,,435732,79348084,3667930,
2019-05-27,2096.6047340621153,6004.296339809895,-8.6599005,115.070631,-8.2366139,115.2007389,2.3888537673642123,19.450000762939453,0.0702734887599945,11912,,,,,67933374,7479541,61465
2019-05-28,1745.097592433205,1060.9698770046234,-8.6599986,115.133647,-8.651865,115.1345654,0.7610709436000073,2.1600000858306885,0.15710397064685822,3712,,,,,79738524,1835682,
2019-05-29,1693.680828957774,636.2445368766785,-8.6600079,115.12672,-8.6517031,115.1345658,0.7329515154693452,10.960000038146973,0.06638655066490173,1913,,,,,79082150,982276,
2019-05-30,1814.7497053333025,2017.3771967589855,-8.6616987,115.1266411,-8.6532643,115.1347605,0.7014223108222399,4.104531764984131,0.31890246272087097,4423,,,,,78503591,2833949,69231
2019-05-31,1727.974011429935,481.17017459869385,-8.6600729,115.1259295,-8.6534621,115.1345355,0.6880212393833979,2.630000114440918,0.33497315645217896,2530,,,,683790,82095336,820389,
2019-06-01,1824.8543497095627,2170.639294862747,-8.6616382,115.1267099,-8.6534646,115.1345525,0.6036087367542435,3.7200000286102295,0.2673119604587555,4293,,,,,81416070,3159470,
2019-06-02,1802.6798550216358,2182.125329732895,-8.6599951,115.1284879,-8.6516924,115.1345221,0.5761865031997783,1.2949597835540771,0.25652623176574707,4408,,,,,79816797,2791425,
2019-06-03,1794.502499445293,2386.8818106651306,-8.6663699,115.1260686,-8.6517099,115.1388896,1.7890420501676234,5.0,0.13643094897270203,4636,,,,,78774762,2497104,69575
2019-06-04,1930.0020115009202,4003.5692623257637,-8.6616759,115.1279709,-8.6431261,115.1422664,1.0403649161754156,14.069999694824219,0.1461350917816162,5052,,,,1143043,76003897,3352765,124642
2019-06-05,1791.9759113513394,1774.9443720579147,-8.6613232,115.1267101,-8.6438646,115.1414692,0.6419644918513799,2.0299999713897705,0.2492688149213791,3904,,,,,79470099,2613758,
2019-06-06,1803.5607770852173,1634.6820755004883,-8.6601446,115.1267103,-8.6526428,115.1359933,3.166010927585583,9.109999656677246,0.26694250106811523,3320,,,,704076,79880033,2053276,
2019-06-07,1789.2932174364714,1153.4776916503906,-8.6595607,115.1259521,-8.6544802,115.1369896,1.2338722824700017,4.239999771118164,0.14837568998336792,4287,,,,,75261495,1725787,365798
2019-06-08,1802.2905347646772,476.4969701766968,-8.6572064,115.1266389,-8.6415397,115.1394542,0.8455676977923006,8.979999542236328,0.3085494637489319,2363,,,,1325437,76975200,1367858,
2019-06-09,1766.3117104181815,1491.6893708705902,-8.6618327,115.1283774,-8.6435833,115.1381564,0.9812319891656859,4.599999904632568,0.3002448081970215,3428,,,,,72503055,2187789,
2019-06-10,1904.412399243926,916.1781035959721,-8.6536712,115.1266503,-8.6446373,115.1357478,2.603706150453097,13.1899995803833,0.08601617068052292,2608,,,,2441576,37981215,1869531,
2019-06-11,1690.004855815883,500.7249298095703,-8.6597967,115.1306563,-8.6418427,115.1391881,0.7499005893130943,1.0963709354400635,0.3225555419921875,1613,,,,,49798071,921262,
2019-06-12,1872.612556475,2560.8302305936813,-31.9583719,115.1357478,-8.6447182,116.7112965,39.138783988102155,192.39999389648438,0.24029378592967987,5932,,,,,75455916,3952154,
2019-06-13,1891.3278824072843,3545.732487156987,-31.958604,115.8373747,-31.9475936,115.8720761,0.9817074140783363,38.0,0.17852510511875153,5412,,,,,79608893,4129212,
2019-06-14,1984.5442323754326,4858.720364570618,-31.9589158,115.8185019,-31.9391465,115.8719955,1.003120701067195,18.469999313354492,0.04691746458411217,8318,,,,,76721816,5808345,
2019-06-15,2045.2734472924526,5330.958223104477,-31.9848646,115.818026,-31.9392617,115.8678443,3.720349256484543,71.0,0.10310465097427368,9012,,,,,75334091,6753029,
2019-06-16,1774.4293441497412,992.170956492424,-31.9596283,115.8666837,-31.9572992,115.8709704,4.606616052149222,30.0,0.2519904673099518,2595,,,,,80529965,2303291,
2019-06-17,2018.2260737954741,4789.399291691836,-32.3695686,115.6859307,-31.9549155,116.0224059,4.008918667628475,29.510000228881836,0.226736381649971,8962,,,,,65866117,6351627,
2019-06-18,1966.6967638625374,4199.455547809601,-32.0148353,115.8134285,-31.9435028,116.0809751,3.790807571513634,41.0,0.300310343503952,7341,,,,824340,63193627,4632398,
2019-06-19,2096.303814316212,6607.286260768771,-31.9623321,115.0708879,-30.5018757,115.8769847,17.784681846615317,121.0,0.2818296253681183,11849,,,,,26779940,7664943,
2019-06-20,1812.1666809489186,1405.0737566947937,-31.957884,115.8708159,-31.9574671,115.8710547,1.3476546412905794,3.0,0.27806511521339417,2891,,,,,82065933,2948883,
2019-06-21,2029.1034817238635,5080.1377947330475,-31.9653045,115.833418,-31.9523388,115.8727418,0.9461277061047326,26.0,0.3178657293319702,9869,,,,,74984757,6548279,
2019-06-22,1820.5012595582677,1633.246685743332,-31.9581785,115.8667874,-31.9579419,115.8669556,0.6590691794287086,1.3371388912200928,0.2891877293586731,3059,,,,664715,81416261,2376533,
2019-06-23,1826.6352934900092,2217.2848346829414,-31.9632691,115.1481938,-8.7425331,115.9731753,2.5171807754753894,89.0,0.2558199167251587,5943,,,,,65962654,3189030,
2019-06-24,2125.3327636423874,7762.308046936989,-8.8196938,115.088511,-8.7960677,115.1217495,1.820060642995643,12.449999809265137,0.02593907341361046,7440,,,,2857313,73468337,5052138,
2019-06-25,1841.687682374526,2553.282977104187,-8.8315994,115.1098872,-8.6425508,115.2412891,2.5016420980625234,46.0,0.251825213432312,5222,,,,,72398127,3438867,
2019-06-26,1801.8443829711596,1894.806746006012,-8.6617884,115.1267984,-8.6430539,115.1423525,0.8759564569581284,3.059999942779541,0.27806511521339417,4097,,,,,78699177,2777556,
2019-06-27,1878.7490634631095,1809.122916817665,-8.6623137,115.1267209,-8.6432366,115.1371966,0.8042398720674583,2.559999942779541,0.30078065395355225,3678,,,,732001,75947360,3271381,
2019-06-28,1661.8566111381806,70.67986488342285,-8.6554904,115.1258344,-8.6432472,115.1372184,0.5479649714974345,1.7599999904632568,0.3204241096973419,955,,,,,83194039,454061,
2019-06-29,1812.2332629677855,1502.4219071865082,-8.6618084,115.126034,-8.6432679,115.1347615,1.363583524057148,11.779999732971191,0.4965790808200836,3374,,,,607434,78772702,2300544,
2019-06-30,1652.873735025747,181.49783092737198,-8.6595172,115.1304437,-8.6432999,115.1365973,1.6000322972562735,14.90999984741211,0.3899533152580261,826,,,,,81367331,304965,
2019-07-01,1914.6267233884023,2705.0744301080704,-8.6622383,115.1281498,-8.643301,115.1411424,0.9484926363994141,8.3100004196167,0.3313840925693512,4427,,,,1197191,70604135,3191080,
