"Milliseconds","timezoneOffset","timestamp","DayOfYear","DayOfMonth","DayOfWeek","TimeOfDay","_id","cat1","cat2","cat3","cat4","cat5","cat6","cat7","cat8","cat9","number","note","gpstime","gpsMilliseconds","name","latitude","longitude","accuracy","altitude","speed","bearing","lat_text","lon_text","street","city","state","country","zip"
"1552719546227","28800000","2019-03-16T14:59:06.227+08:00","75","16","samedi","14.985","2","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1552722071471","28800000","2019-03-16T15:41:11.471+08:00","75","16","samedi","15.686388888888889","3","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1552793874736","28800000","2019-03-17T11:37:54.736+08:00","76","17","dimanche","11.631666666666666","4","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1552798385384","28800000","2019-03-17T12:53:05.384+08:00","76","17","dimanche","12.884722222222223","5","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1552888203452","28800000","2019-03-18T13:50:03.452+08:00","77","18","lundi","13.834166666666667","6","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1552890638451","28800000","2019-03-18T14:30:38.451+08:00","77","18","lundi","14.510555555555555","7","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1553064224688","28800000","2019-03-20T14:43:44.688+08:00","79","20","mercredi","14.72888888888889","8","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1553149546833","28800000","2019-03-21T14:25:46.833+08:00","80","21","jeudi","14.429444444444444","9","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1553385649545","28800000","2019-03-24T08:00:49.545+08:00","83","24","dimanche","8.01361111111111","11","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1553391227206","28800000","2019-03-24T09:33:47.206+08:00","83","24","dimanche","9.563055555555556","10","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1553506241838","28800000","2019-03-25T17:30:41.838+08:00","84","25","lundi","17.511388888888888","12","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1553508582508","28800000","2019-03-25T18:09:42.508+08:00","84","25","lundi","18.161666666666665","13","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1553766223774","28800000","2019-03-28T17:43:43.774+08:00","87","28","jeudi","17.72861111111111","14","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1553768620530","28800000","2019-03-28T18:23:40.530+08:00","87","28","jeudi","18.394444444444446","15","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1553938647851","28800000","2019-03-30T17:37:27.851+08:00","89","30","samedi","17.624166666666667","16","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1553943201175","28800000","2019-03-30T18:53:21.175+08:00","89","30","samedi","18.889166666666668","17","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1554422442849","28800000","2019-04-05T08:00:42.849+08:00","95","5","vendredi","8.011666666666667","18","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1554426054856","28800000","2019-04-05T09:00:54.856+08:00","95","5","vendredi","9.015","19","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1554519780399","28800000","2019-04-06T11:03:00.399+08:00","96","6","samedi","11.05","20","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1554521456536","28800000","2019-04-06T11:30:56.536+08:00","96","6","samedi","11.515555555555556","22","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1554523793378","28800000","2019-04-06T12:09:53.378+08:00","96","6","samedi","12.164722222222222","21","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1554526618821","28800000","2019-04-06T12:56:58.821+08:00","96","6","samedi","12.949444444444444","23","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1554969581869","34200000","2019-04-11T17:29:41.869+09:30","101","11","jeudi","17.494722222222222","24","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1554974975627","34200000","2019-04-11T18:59:35.627+09:30","101","11","jeudi","18.993055555555557","25","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1555027811252","34200000","2019-04-12T09:40:11.252+09:30","102","12","vendredi","9.669722222222223","26","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1555029060399","34200000","2019-04-12T10:01:00.399+09:30","102","12","vendredi","10.016666666666667","27","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1555031657558","34200000","2019-04-12T10:44:17.558+09:30","102","12","vendredi","10.738055555555555","29","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1555035463773","34200000","2019-04-12T11:47:43.773+09:30","102","12","vendredi","11.795277777777777","30","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1555044511313","34200000","2019-04-12T14:18:31.313+09:30","102","12","vendredi","14.30861111111111","32","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1555052611562","34200000","2019-04-12T16:33:31.562+09:30","102","12","vendredi","16.558611111111112","33","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1555117498009","34200000","2019-04-13T10:34:58.009+09:30","103","13","samedi","10.582777777777778","34","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1555119189597","34200000","2019-04-13T11:03:09.597+09:30","103","13","samedi","11.0525","35","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1555145550554","34200000","2019-04-13T18:22:30.554+09:30","103","13","samedi","18.375","37","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1555147919709","34200000","2019-04-13T19:01:59.709+09:30","103","13","samedi","19.033055555555556","38","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1555202230253","34200000","2019-04-14T10:07:10.253+09:30","104","14","dimanche","10.119444444444444","41","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1555203132626","34200000","2019-04-14T10:22:12.626+09:30","104","14","dimanche","10.37","42","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1555209247824","34200000","2019-04-14T12:04:07.824+09:30","104","14","dimanche","12.06861111111111","39","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1555210800343","34200000","2019-04-14T12:30:00.343+09:30","104","14","dimanche","12.5","40","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1555403413770","28800000","2019-04-16T16:30:13.770+08:00","106","16","mardi","16.503611111111113","43","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1555407916259","28800000","2019-04-16T17:45:16.259+08:00","106","16","mardi","17.754444444444445","44","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1555494442089","28800000","2019-04-17T17:47:22.089+08:00","107","17","mercredi","17.789444444444445","45","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1555497633617","28800000","2019-04-17T18:40:33.617+08:00","107","17","mercredi","18.675833333333333","46","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1555579399019","28800000","2019-04-18T17:23:19.019+08:00","108","18","jeudi","17.38861111111111","47","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1555581748958","28800000","2019-04-18T18:02:28.958+08:00","108","18","jeudi","18.04111111111111","48","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1555839354441","28800000","2019-04-21T17:35:54.441+08:00","111","21","dimanche","17.598333333333333","49","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1555843029914","28800000","2019-04-21T18:37:09.914+08:00","111","21","dimanche","18.619166666666665","50","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1555925741575","28800000","2019-04-22T17:35:41.575+08:00","112","22","lundi","17.594722222222224","51","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1555928576519","28800000","2019-04-22T18:22:56.519+08:00","112","22","lundi","18.38222222222222","52","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1556012236975","28800000","2019-04-23T17:37:16.975+08:00","113","23","mardi","17.621111111111112","53","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1556014593636","28800000","2019-04-23T18:16:33.636+08:00","113","23","mardi","18.275833333333335","54","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1556066733524","28800000","2019-04-24T08:45:33.524+08:00","114","24","mercredi","8.759166666666667","55","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1556073035430","28800000","2019-04-24T10:30:35.430+08:00","114","24","mercredi","10.509722222222223","56","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1556420433620","28800000","2019-04-28T11:00:33.620+08:00","118","28","dimanche","11.009166666666667","57","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1556423435926","28800000","2019-04-28T11:50:35.926+08:00","118","28","dimanche","11.843055555555555","58","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1556431539705","28800000","2019-04-28T14:05:39.705+08:00","118","28","dimanche","14.094166666666666","59","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1556433381021","28800000","2019-04-28T14:36:21.021+08:00","118","28","dimanche","14.605833333333333","60","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1556505875622","28800000","2019-04-29T10:44:35.622+08:00","119","29","lundi","10.743055555555555","61","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1556509492679","28800000","2019-04-29T11:44:52.679+08:00","119","29","lundi","11.747777777777777","62","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1556509550153","28800000","2019-04-29T11:45:50.153+08:00","119","29","lundi","11.76388888888889","63","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1556509972204","28800000","2019-04-29T11:52:52.204+08:00","119","29","lundi","11.88111111111111","64","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1556514006882","28800000","2019-04-29T13:00:06.882+08:00","119","29","lundi","13.001666666666667","65","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1556515210225","28800000","2019-04-29T13:20:10.225+08:00","119","29","lundi","13.33611111111111","66","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1556515272196","28800000","2019-04-29T13:21:12.196+08:00","119","29","lundi","13.353333333333333","67","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1556520014118","28800000","2019-04-29T14:40:14.118+08:00","119","29","lundi","14.670555555555556","68","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1556527197718","28800000","2019-04-29T16:39:57.718+08:00","119","29","lundi","16.66583333333333","69","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1556531163164","28800000","2019-04-29T17:46:03.164+08:00","119","29","lundi","17.7675","70","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1556604070461","28800000","2019-04-30T14:01:10.461+08:00","120","30","mardi","14.019444444444444","72","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1556609491038","28800000","2019-04-30T15:31:31.038+08:00","120","30","mardi","15.525277777777777","73","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1556703750044","28800000","2019-05-01T17:42:30.044+08:00","121","1","mercredi","17.708333333333332","74","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1556706621927","28800000","2019-05-01T18:30:21.927+08:00","121","1","mercredi","18.505833333333335","75","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1556925637366","28800000","2019-05-04T07:20:37.366+08:00","124","4","samedi","7.343611111111111","76","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1556929239723","28800000","2019-05-04T08:20:39.723+08:00","124","4","samedi","8.344166666666666","77","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1556962082714","28800000","2019-05-04T17:28:02.714+08:00","124","4","samedi","17.467222222222222","78","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1556965900729","28800000","2019-05-04T18:31:40.729+08:00","124","4","samedi","18.52777777777778","79","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1557047916459","28800000","2019-05-05T17:18:36.459+08:00","125","5","dimanche","17.31","80","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1557051902704","28800000","2019-05-05T18:25:02.704+08:00","125","5","dimanche","18.41722222222222","81","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1557186301062","28800000","2019-05-07T07:45:01.062+08:00","127","7","mardi","7.750277777777778","82","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1557189903853","28800000","2019-05-07T08:45:03.853+08:00","127","7","mardi","8.750833333333333","83","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1557221727713","28800000","2019-05-07T17:35:27.713+08:00","127","7","mardi","17.590833333333332","84","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1557224794601","28800000","2019-05-07T18:26:34.601+08:00","127","7","mardi","18.442777777777778","85","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1557561058366","28800000","2019-05-11T15:50:58.366+08:00","131","11","samedi","15.849444444444444","86","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1557565828026","28800000","2019-05-11T17:10:28.026+08:00","131","11","samedi","17.174444444444443","87","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1557566680631","28800000","2019-05-11T17:24:40.631+08:00","131","11","samedi","17.41111111111111","88","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1557567198997","28800000","2019-05-11T17:33:18.997+08:00","131","11","samedi","17.555","89","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1557625502953","28800000","2019-05-12T09:45:02.953+08:00","132","12","dimanche","9.750555555555556","90","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1557632357607","28800000","2019-05-12T11:39:17.607+08:00","132","12","dimanche","11.654722222222222","91","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1557913540876","28800000","2019-05-15T17:45:40.876+08:00","135","15","mercredi","17.761111111111113","94","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1557914203000","28800000","2019-05-15T17:56:43.000+08:00","135","15","mercredi","17.94527777777778","95","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1558170042006","28800000","2019-05-18T17:00:42.006+08:00","138","18","samedi","17.011666666666667","96","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1558173644494","28800000","2019-05-18T18:00:44.494+08:00","138","18","samedi","18.01222222222222","97","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1558257990274","28800000","2019-05-19T17:26:30.274+08:00","139","19","dimanche","17.441666666666666","98","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1558261971004","28800000","2019-05-19T18:32:51.004+08:00","139","19","dimanche","18.5475","99","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1558344632105","28800000","2019-05-20T17:30:32.105+08:00","140","20","lundi","17.50888888888889","100","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1558350034494","28800000","2019-05-20T19:00:34.494+08:00","140","20","lundi","19.009444444444444","101","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1558430399039","28800000","2019-05-21T17:19:59.039+08:00","141","21","mardi","17.333055555555557","102","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1558431628772","28800000","2019-05-21T17:40:28.772+08:00","141","21","mardi","17.674444444444443","103","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1558605150474","28800000","2019-05-23T17:52:30.474+08:00","143","23","jeudi","17.875","104","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1558607424751","28800000","2019-05-23T18:30:24.751+08:00","143","23","jeudi","18.506666666666668","105","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1558761780541","28800000","2019-05-25T13:23:00.541+08:00","145","25","samedi","13.383333333333333","106","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1558767036268","28800000","2019-05-25T14:50:36.268+08:00","145","25","samedi","14.843333333333334","107","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1558773795720","28800000","2019-05-25T16:43:15.720+08:00","145","25","samedi","16.720833333333335","108","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1558776099359","28800000","2019-05-25T17:21:39.359+08:00","145","25","samedi","17.360833333333332","109","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1558851844819","28800000","2019-05-26T14:24:04.819+08:00","146","26","dimanche","14.401111111111112","110","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1558860291820","28800000","2019-05-26T16:44:51.820+08:00","146","26","dimanche","16.7475","111","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1558936207150","28800000","2019-05-27T13:50:07.150+08:00","147","27","lundi","13.835277777777778","112","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1558944046140","28800000","2019-05-27T16:00:46.140+08:00","147","27","lundi","16.012777777777778","113","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1559211016533","28800000","2019-05-30T18:10:16.533+08:00","150","30","jeudi","18.17111111111111","114","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1559212496420","28800000","2019-05-30T18:34:56.420+08:00","150","30","jeudi","18.58222222222222","115","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1559382322674","28800000","2019-06-01T17:45:22.674+08:00","152","1","samedi","17.75611111111111","116","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
